"X","Y","OCC","ELEV","GREEN","LIGHT","MNTEMPWQ","PRECDM","SLOPE","TREEDENS"
396449.131235769,5944251.26455565,1,229.482849121094,0.365909069776535,0,8,34,0.775622844696045,0.0900000035762787
495862.130501984,5993435.79827908,1,327.9501953125,0.206027284264565,1.73170745372772,7.59999990463257,33,14.1492872238159,0.129999995231628
542462.832185634,5803634.54271302,1,54.0896682739258,0.191163644194603,0.310344815254211,15.3000001907349,36,0.580444037914276,0.519999980926514
374662.432271441,5723134.88068873,1,11.7215480804443,0.0571363605558872,1.61538457870483,9.89999961853027,39,1.12151288986206,0.449999988079071
272762.020877874,5941535.81517299,1,162.563430786133,0.364299982786179,0.195121958851814,9.60000038146973,29,0.598229467868805,0.0900000035762787
541462.218383045,6005235.59371008,1,695.267761230469,0.0579454451799393,0.19753086566925,6.40000009536743,43,7.4757285118103,0.680000007152557
204297.538984424,5943814.74557013,1,366.50439453125,0.154927268624306,0,8.69999980926514,31,10.5508327484131,0.529999971389771
188933.615707224,5961901.45492146,1,244.908920288086,0.241363659501076,0,9.19999980926514,27,3.18765950202942,0
293877.049931077,5852182.09389615,1,432.760955810547,0.166572734713554,3.61728358268738,9.39999961853027,48,9.17494201660156,0.259999990463257
388562.418149447,5931935.3265092,1,460.568786621094,0.168036356568336,0,6.69999980926514,37,4.01705932617188,0.330000013113022
197513.550161856,5944894.05121895,1,279.028381347656,0.256618171930313,0,9,30,4.15187788009644,0.119999997317791
331861.931145647,6000835.7390984,1,94.0432434082031,0.326190918684006,0.116279065608978,12.1999998092651,29,0.133041635155678,0
274462.28016841,5801835.50635609,1,121.296928405762,0.248272716999054,0.737500011920929,11.3000001907349,31,5.18236637115479,0.0599999986588955
343075.069524508,5814656.67027228,1,114.13744354248,0.0915818139910698,57.9135856628418,11.6000003814697,51,4.26435279846191,0.469999998807907
345940.649472334,5872172.94423549,1,340.532897949219,0.257600039243698,0,8.89999961853027,41,8.71539974212646,0.230000004172325
282052.551574165,5830683.33714325,1,166.307830810547,0.155300006270409,5.51219463348389,13.1000003814697,33,1.06370735168457,0.0599999986588955
411213.03652657,5882618.35720697,1,556.850402832031,0.110109090805054,0.421686738729477,6.19999980926514,43,15.8237686157227,0.660000026226044
447048.79156467,5979850.7064418,1,157.047866821289,0.347709089517593,0.818181812763214,9,35,0.118421770632267,0.0399999991059303
324461.963641739,5835035.69670446,1,176.647720336914,0.379827290773392,29.7073173522949,13.3000001907349,47,1.5098443031311,0.0799999982118607
51710.1663446022,5816368.09351949,1,138.254730224609,0.433409094810486,0,9.39999961853027,24,1.72802841663361,0.720000028610229
